	a01	a05	a20	a41	a44
about	1	3	4	1	2
abstaining	0	0	0	1	0
achieve	1	1	0	0	0
action	3	1	0	2	0
actions	1	0	0	1	0
activities	0	0	0	0	3
actual	0	0	0	1	0
addition	0	0	0	0	1
additional	2	0	0	0	2
adequate	0	0	0	1	1
adjourned	0	0	1	0	0
adjournment	2	0	0	0	0
administration	2	0	0	3	0
affairs	0	0	0	2	0
afraid	0	0	0	0	1
afternoon	1	0	1	0	0
again	0	1	1	1	0
against	1	1	0	0	0
agencies	0	0	0	0	1
agreed	1	0	0	0	0
aid	1	2	0	0	0
aiming	0	0	1	0	0
air	0	1	0	0	0
airport	2	0	0	0	0
already	0	0	0	0	1
although	0	0	2	2	2
ambiguous	1	0	0	0	0
amount	0	1	0	0	0
amounts	0	0	0	0	1
announced	1	0	1	2	0
announcement	0	0	2	0	0
annual	0	0	0	0	2
annually	0	0	0	0	1
anonymous	3	0	0	0	0
appealed	0	0	1	3	0
appealing	0	0	0	1	0
applied	0	0	0	0	1
appoint	0	1	0	0	0
appointed	1	0	0	0	0
appointing	0	1	0	0	0
appointment	1	1	0	0	0
appraisers	1	0	0	0	0
approached	0	0	0	1	0
approaching	0	0	0	1	0
appropriate	0	0	0	1	0
area	0	1	0	1	7
areas	1	0	1	0	0
around	0	0	2	1	2
association	1	0	0	0	0
audience	2	0	0	0	0
audio-visual	0	0	0	0	1
aug.	1	0	0	0	0
august	0	0	1	0	0
aunt	0	0	1	0	0
austin	0	0	2	0	0
authorities	1	0	0	0	0
authority	2	0	0	1	0
authorized	0	1	0	1	0
automobile	1	0	0	0	0
autonomy	0	0	0	0	1
available	1	1	0	0	5
avenue	0	0	3	0	0
bail	0	0	4	0	0
bailey	0	0	1	0	0
balloon	0	0	0	0	1
baraclough	0	0	1	0	0
bear	0	0	0	0	1
bearing	0	1	0	0	0
because	0	1	0	0	3
been	7	5	7	8	2
behavior	0	0	1	0	0
being	5	3	2	1	0
belgian	0	0	0	8	0
belgians	0	0	0	20	0
believe	0	0	0	1	0
believed	0	1	0	0	0
believes	1	3	0	0	0
bellwood	1	0	0	0	0
beneficiaries	0	0	0	1	0
between	0	1	0	0	1
biography	0	0	0	0	1
blood	0	0	0	1	0
blue	2	2	0	0	0
board	2	2	1	0	2
boarded	0	0	1	0	0
boards	0	0	0	0	1
book	0	0	0	0	8
book-review	0	0	0	0	1
book-selection	0	0	0	0	1
bookkeeping	0	0	0	0	1
booklists	0	0	0	0	1
books	0	0	1	0	7
bookseller	0	0	1	0	0
bookwalter	0	0	1	0	0
bought	0	0	0	0	1
bound	0	0	1	0	1
boundaries	0	0	0	1	1
bounty	0	0	0	0	1
bourcier	0	3	0	0	0
breed	0	0	0	0	1
brief	1	0	0	0	0
britain	0	0	2	2	0
britain's	0	0	1	0	0
broaden	0	0	0	0	1
brought	1	0	1	2	0
buaford	0	0	1	0	0
build	0	0	0	0	1
building	0	0	0	0	2
built	0	0	2	0	1
bureau	0	0	1	0	0
buried	0	0	1	0	0
campaign	5	0	0	0	0
canadian	0	0	1	0	0
captain	0	0	2	0	0
career	1	0	0	0	0
carpentier	0	0	1	0	0
carried	0	0	0	0	1
carries	0	0	1	0	0
catalogue	0	0	0	0	2
caught	0	1	0	0	0
cause	0	0	0	1	0
caused	0	1	0	1	0
certain	0	0	1	0	1
certainly	0	1	0	1	0
chain	0	0	1	0	0
chairman	3	2	0	0	0
chaos	0	0	0	1	0
chief	0	1	1	1	0
chien	0	0	0	1	0
christianity	0	0	0	1	0
civilians	0	0	0	1	0
clear	0	0	0	0	1
cleared	0	0	2	0	0
clientele	0	0	0	0	1
clients	0	0	2	0	0
clients'	0	0	1	0	0
collection	0	0	0	0	9
